model,length,sample_size,trial,sigma1,sigma2,sigma3,log_sigma3,frob_error,spectral_error,tv_error,max_error,sigma_min_emp,prefixes,suffixes
rank1,6,0,0,0.22779311889279336,0.0,1.8192981045974764e-09,-20.124815067056996,0.0,0.0,0.0,0.0,1.8192981045974764e-09,8,8
rank1,6,100,1,0.22779311889279336,0.0,1.8192981045974764e-09,-20.124815067056996,0.11645474535348015,0.0899846836854046,0.9669507141370867,1.1615981164031917,0.2092245375363631,8,8
rank3,6,0,0,0.1897301538659054,0.017838905552501824,0.0015446945204544652,-6.4729291095705745,0.0,0.0,0.0,0.0,0.0015446945204544652,8,8
rank3,6,100,1,0.1897301538659054,0.017838905552501824,0.0015446945204544652,-6.4729291095705745,0.09706683061398082,0.055093782788760225,1.4647321115074943,1.6391920821655297,0.04269093543110412,8,8
