model,length,rank,sample_size,trial,sigma1,sigma2,sigma3,log_sigma3,hankel_frob_mid,hankel_spec_mid,mu_row,mu_col,mu_max,frob_error,spectral_error,tv_error,max_error,sigma_min_emp,delta_over_sigma_min,prefixes,suffixes
rank1,6.0,1.0,0.0,0.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.0,0.0,1.8108886785939138e-16,8.326672684688674e-17,1.2277931188927933,0.0,9.0,9.0
rank1,6.0,1.0,200.0,1.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.0965600771911079,0.07757020522052084,0.051932975215515306,0.02726148124051822,1.2130633879411008,0.06394571461939728,9.0,9.0
rank1,6.0,1.0,200.0,2.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.15698525316756434,0.14220243809915195,0.015494879716644119,0.008462550302361371,1.2676790871460204,0.11217542321321898,9.0,9.0
rank1,6.0,1.0,200.0,3.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.08833225694573232,0.05756586117563573,0.0816298948583985,0.0497653125465935,1.2177265360720317,0.0472732255316727,9.0,9.0
rank1,6.0,1.0,200.0,4.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.0762483503186634,0.05022488502173917,0.02520679421609794,0.013621186374328714,1.2206614395550963,0.04114563088029144,9.0,9.0
rank1,6.0,1.0,200.0,5.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.12847288832911682,0.10551836900524343,0.022980393811410576,0.013098087457795088,1.236332747725902,0.08534787192148137,9.0,9.0
rank1,6.0,1.0,200.0,6.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.0906438702467981,0.07140255082230686,0.030366623442620373,0.01631739172501867,1.2133439639297696,0.058847740578894706,9.0,9.0
rank1,6.0,1.0,200.0,7.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.11116401965388333,0.0817094700341883,0.035476470007525684,0.020507360778107275,1.2334264167646876,0.0662459218674062,9.0,9.0
rank1,6.0,1.0,200.0,8.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.08794666971857995,0.06312933567959383,0.04634539000708476,0.02447556487371033,1.2298605088752332,0.051330484411869326,9.0,9.0
rank1,6.0,1.0,200.0,9.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.1117097886934182,0.08473683983761876,0.05153250288494326,0.027062944888585322,1.21694008738972,0.06963106952896535,9.0,9.0
