length,base_index,bond_max,bond_eff,depth,t_star,tail_energy_sum,tail_energy_norm,delta_th,delta_psi,delta_psi_over_tail,prob_diff_l2,hankel_diff_fro,hankel_diff_spec,base_rank_full,rank_delta_th,rank_delta_spec,rank_success_delta_th,rank_success_delta_spec,trunc_rank_num_1e-10,base_rank_eps_1e-12,trunc_rank_eps_1e-12,base_rank_eps_1e-10,trunc_rank_eps_1e-10,base_rank_eps_1e-08,trunc_rank_eps_1e-08,base_rank_eps_1e-06,trunc_rank_eps_1e-06
8,0,8,2,8,4,0.6678233122213744,0.8172045718309304,1.6344091436618609,0.9204914836109905,1.126390521223649,0.0857236155731593,0.0857236155731593,0.056824701321541736,16,0,1,1,1,4,16,4,16,4,16,4,16,4
8,0,8,4,8,4,0.2614856279389076,0.5113566543410848,1.0227133086821696,0.5303421741191832,1.0371277456094952,0.04510311440528436,0.04510311440528436,0.02466272373986896,16,0,3,1,1,16,16,16,16,16,16,16,16,16
8,0,8,8,8,4,0.03534680048869464,0.18800744796069818,0.37601489592139636,0.18885125069027905,1.0044881345858026,0.014482234995319122,0.014482234995319122,0.007058999979487527,16,0,9,1,1,16,16,16,16,16,16,16,16,16
8,1,8,2,8,4,0.570157534241678,0.7550877659197492,1.5101755318394985,0.8299111727246756,1.099092330960741,0.08376908663547022,0.08376908663547022,0.06045907262035121,16,0,1,1,1,4,16,4,16,4,16,4,16,4
8,1,8,4,8,4,0.20593673335185395,0.4538025268240074,0.9076050536480148,0.4666855982358544,1.0283891575086872,0.03811654582327752,0.03811654582327752,0.018691831007566197,16,0,4,1,1,16,16,16,16,16,16,16,16,16
8,1,8,8,8,4,0.018119373238631435,0.1346082212891599,0.2692164425783198,0.1349155413204204,1.0022830702933097,0.010701501120054422,0.010701501120054422,0.0058590781866826045,16,0,10,1,1,16,16,16,16,16,16,16,16,16
8,2,8,2,8,4,0.5888875576761491,0.7673900948514706,1.5347801897029412,0.8471357543884437,1.103918020407089,0.08322896385592611,0.08322896385592611,0.0536921948072521,16,0,1,1,1,4,16,4,16,4,16,4,16,4
8,2,8,4,8,4,0.18794925114011027,0.4335311420649159,0.8670622841298318,0.4446603541721615,1.0256710787931795,0.039506598956897995,0.039506598956897995,0.021973109968229772,16,0,3,1,1,16,16,16,16,16,16,16,16,16
8,2,8,8,8,4,0.016990093643251786,0.13034605342415162,0.26069210684830324,0.13062495590078468,1.002139707872286,0.010230082848913328,0.010230082848913328,0.004924221434607868,16,0,12,1,1,16,16,16,16,16,16,16,16,16
8,3,8,2,8,4,0.5286048886004624,0.7270521911117952,1.4541043822235904,0.7917295047405705,1.0889582817017192,0.060765938897438025,0.060765938897438025,0.03460008335500591,16,0,1,1,1,4,16,4,16,4,16,4,16,4
8,3,8,4,8,4,0.21351104761668777,0.4620725566582458,0.9241451133164916,0.47572655232134414,1.029549462452056,0.03840965111674924,0.03840965111674924,0.019513883743133304,16,0,3,1,1,16,16,16,16,16,16,16,16,15
8,3,8,8,8,4,0.021962668194412192,0.1481980708187937,0.2963961416375874,0.1486088846274663,1.0027720590855391,0.013394253758595584,0.013394253758595584,0.008862167120207669,16,0,8,1,1,16,16,16,16,16,16,16,16,16
8,4,8,2,8,4,0.5900332912493762,0.7681362452386791,1.5362724904773581,0.848190512659403,1.104218838672102,0.09926775567674781,0.09926775567674781,0.07716867035032679,16,0,1,1,1,4,16,4,16,4,16,4,16,4
8,4,8,4,8,4,0.18659317214472118,0.4319643181383402,0.8639286362766804,0.442965695783375,1.0254682555551071,0.04196151544729277,0.04196151544729277,0.030534263652418975,16,0,2,1,1,16,16,16,16,16,16,16,16,16
8,4,8,8,8,4,0.015848708097732117,0.12589165221622964,0.2517833044324593,0.12614280035785427,1.0019949546868545,0.009823085648130357,0.009823085648130357,0.0066728122778152875,16,0,9,1,1,16,16,16,16,16,16,16,16,16
10,0,8,2,10,5,0.837966299673064,0.9154049921608818,1.8308099843217636,1.0931293625727276,1.1941483517500973,0.06935197464777479,0.06935197464777479,0.05345422818198821,32,0,0,1,1,4,32,4,32,4,32,4,32,4
