model,length,sample_size,trial,rank_true,rank_used,delta_hankel,sigma_min_true,sigma_min_emp,mu,kappa_B,F_raw,F_proj,max_error_raw,tv_error_raw,max_error_proj,tv_error_proj,scaled_error_raw,scaled_error_proj,prefixes,suffixes,eval_words,effective_samples,sumB_norm_raw
high,10,1000,1,24,4,0.013058996249549605,1.7091558125045446e-10,0.010938378425535421,0.12710751394144235,0.9963753475786424,9.678471214948615,10.0,0.13570967017002872,0.6856926057739546,0.06397458974815691,0.7819482882090818,2.3965455538673175e-12,1.0934254192065602e-12,32,32,1024,1000,6.657212465269917e-08
high,10,1000,2,21,4,0.014872215895111226,2.850226278952565e-10,0.015037487963018391,0.12432382139984696,0.9977438858696853,9.798772532853672,10.0,0.017146473003359242,0.5219909108265663,0.01626219500813255,0.4699208027532308,4.987494890984325e-13,4.635093556563062e-13,32,32,1024,1000,5.944585536487414e-08
high,10,1000,3,20,4,0.014667615801185198,0.0,0.015410018507159754,0.09093371443866052,0.9993648503119789,9.942981542496101,10.0,0.302780448504891,0.7997757315089825,0.01256664747882565,0.47490246306243256,0.0,0.0,32,32,1024,1000,0.0005460742529726439
high,10,1000,4,20,4,0.013204427628317786,0.0,0.01188476847014446,0.09066566242378349,0.9949669912261144,9.556042145319909,10.0,0.014039658535460069,0.618843562174997,0.014185678826935836,0.4786386066699478,0.0,0.0,32,32,1024,1000,1.314346507304232e-06
high,10,1000,5,22,4,0.0162562394022109,0.0,0.013308281741990998,0.20408878780772086,0.9918833345492968,9.292773255313232,10.0,0.6174035113961807,0.8596144604379321,0.05647450640892971,0.5929382044920436,0.0,0.0,32,32,1024,1000,9.653541829937742e-11
high,10,3000,1,21,4,0.011387198379499716,8.961517140252556e-10,0.010318491938739089,0.16672302211183712,0.999406744129185,9.946733499302564,10.0,0.33022474373395183,0.801782973959465,0.025729285980611527,0.586167036681004,2.975162349845621e-11,2.3057343732171e-12,32,32,1024,3000,1.2042841628245623e-10
high,10,3000,2,25,4,0.008573600342499453,0.0,0.010438452036605551,0.1705337095769087,0.9992434028220513,9.932111968732473,10.0,0.9679305548095302,0.9926165887113214,0.024798978153717434,0.5568412797799742,0.0,0.0,32,32,1024,3000,7.857916882209242e-05
high,10,3000,3,20,4,0.008508480944975477,0.0,0.010777304399476332,0.1285395759986766,0.9985368862770692,9.869087792381997,10.0,0.3456033514547444,0.9081570638492349,0.025330479859399332,0.45136975572495475,0.0,0.0,32,32,1024,3000,0.0001961450351855243
high,10,3000,4,23,4,0.007528668096604562,2.568562830004193e-10,0.008297589684188653,0.11169956333947297,0.9998743472002786,9.988696930264311,10.0,0.5732156423513846,0.9374788182354299,0.5088125643162985,0.9222810776072721,1.4740064723154877e-11,1.3069170401419622e-11,32,32,1024,3000,1.2051470966076612e-10
high,10,3000,5,20,4,0.009039420859833247,0.0,0.011804558915421532,0.10480331274735442,0.9991620124915696,9.92483343086372,10.0,0.9675637095482839,0.9849854782782657,0.017510511978866623,0.49999999999999895,0.0,0.0,32,32,1024,3000,1.5088153874062544e-07
high,10,10000,1,21,4,0.003940930168904174,0.0,0.012981949593075581,0.08722116701113986,0.999923848245416,9.993148429388834,10.0,0.02737876049121593,0.51784448582339,0.010370901559452628,0.47342593194042554,0.0,0.0,32,32,1024,10000,0.017354742078686453
high,10,10000,2,23,4,0.0041900847411920645,0.0,0.011054612222385206,0.07865660618451972,0.9965486869542789,9.693635633427354,10.0,0.0804104547592838,0.5990500581334531,0.006153149179997879,0.42144235735841973,0.0,0.0,32,32,1024,10000,2.4732139284527305e-05
high,10,10000,3,22,4,0.004437721834255142,0.0,0.01347397470937229,0.13931330681028836,0.9965556448800914,9.694244781118467,10.0,0.6729028513953663,0.9133410292316642,0.02261163560021758,0.5914331908755553,0.0,0.0,32,32,1024,10000,3.7305383331180176e-08
high,10,10000,4,22,4,0.004052903890196929,0.0,0.013188274951617113,0.09693142039481266,0.9935256154297589,9.432169975883353,10.0,0.7129931732034556,0.918415236692026,0.012948071650329372,0.4540114664177214,0.0,0.0,32,32,1024,10000,2.788262426566252e-09
high,10,10000,5,21,4,0.0040057066204361655,0.0,0.012420069121302267,0.10174700239910676,0.9962245073505592,9.665292274283523,10.0,0.2002114768610131,0.8386054440182225,0.00950165984493383,0.44556151659079957,0.0,0.0,32,32,1024,10000,8.328317003098344e-05
contractive,8,1000,1,8,4,0.015611152287211553,0.0,0.012093508276454222,0.0870288969887007,1.0826291961650019,13.945950881343828,8.0,0.06624160889343123,0.5388019051217882,0.001343733109376756,0.07395207085809395,0.0,0.0,16,16,256,1000,0.0018457787927117352
contractive,8,1000,2,10,4,0.015439134739846597,3.2066306839710423e-10,0.01078823171439915,0.09337781255881586,1.1418782631490374,20.250167855546135,8.0,0.20691066314365164,0.47515823849537603,0.0022266375215348497,0.12741340012855157,3.276447316437989e-12,8.925005248293602e-14,16,16,256,1000,2.6509383926060087e-06
contractive,8,1000,3,9,4,0.01619144493630282,0.0,0.010726283778393821,0.0965542543259202,1.0878972722326592,14.427969039622003,8.0,0.25333844342780415,0.4059339185575104,0.006051496681406055,0.49999999999999994,0.0,0.0,16,16,256,1000,0.00017306419913517017
contractive,8,1000,4,11,4,0.015731272743018943,2.8517553920154414e-10,0.010660200605359908,0.09722132812435441,1.1255523002473609,18.308372756074103,8.0,0.004523071200132685,0.18783267692773717,0.018869215396790727,0.5690584148337092,7.045242553939582e-14,6.726298343862343e-13,16,16,256,1000,7.325489054531151e-05
contractive,8,1000,5,9,4,0.013648403392642137,0.0,0.011367517607013782,0.09089830163527798,1.1366065108310197,19.604734420029487,8.0,0.058556960390342354,0.2488240282146738,0.005685418683653947,0.4999999999999998,0.0,0.0,16,16,256,1000,0.0022802662266841324
contractive,8,3000,1,10,4,0.008284795741470733,3.564395979418242e-10,0.005788059511189054,0.07666562103436453,1.0428971622389327,10.73446457448198,8.0,0.07023684557952452,0.31252593597776174,0.0020920663894199508,0.07686162373602987,2.3322255921903632e-12,9.321191283905637e-14,16,16,256,3000,6.882974756422525e-05
contractive,8,3000,2,10,4,0.007616158032930665,0.0,0.00656844781564433,0.07090544945643946,1.0252567029323199,9.526169575195254,8.0,0.003001043544782777,0.0821367210045395,0.0010058808412443851,0.051521818295099046,0.0,0.0,16,16,256,3000,0.053345325462050196
contractive,8,3000,3,10,4,0.00784359132215741,3.177640816867154e-10,0.006022992766080807,0.06640192632660037,1.0773062020039583,13.472993723433316,8.0,0.10476049233313767,0.23827719592485588,0.3749030067815148,0.9710792295342815,2.47080361845553e-12,1.489133870893956e-11,16,16,256,3000,0.0007004028169411723
contractive,8,3000,4,10,4,0.007769910387822743,3.6523751380274097e-10,0.006319608675599778,0.08247820734670487,1.0384316126542237,10.41682317857459,8.0,0.06515052222657215,0.4916526122575304,0.033212827650472926,0.7970476280616252,2.284325494736825e-12,1.5163213246772078e-12,16,16,256,3000,0.0012991906320404208
contractive,8,3000,5,10,4,0.009474665743684782,0.0,0.006030341676832654,0.08987182815660683,1.068581906768181,12.727546782050577,8.0,0.06430570048410043,0.3818973099452072,0.003981164035320222,0.22202233588369033,0.0,0.0,16,16,256,3000,3.720175891112316e-06
contractive,8,10000,1,9,4,0.004477868306989436,4.186672081927924e-10,0.0034815562910174348,0.08014217148080408,1.1029038416565866,15.880110981773035,8.0,0.02821314912539395,0.25707583322111965,0.011252975717150325,0.09841766739918789,7.438185030452974e-13,5.889064909200765e-13,16,16,256,10000,3.9127017653949015e-05
contractive,8,10000,2,10,4,0.004786098301301831,3.5290291813126403e-10,0.0037207509378566904,0.079955327515791,1.0987153102728175,15.46273173270292,8.0,0.008042891887132751,0.20073268931138555,0.005005541621350444,0.4999999999999995,1.8356135683195125e-13,2.208087806252588e-13,16,16,256,10000,0.0005930911806268231
contractive,8,10000,3,9,4,0.004273730852801551,0.0,0.003261318152997424,0.07967465186016236,1.1711974228757895,24.18247478416294,8.0,0.06478090979389073,0.5031509731636229,0.006122544333413412,0.12375179058846061,0.0,0.0,16,16,256,10000,0.00797694072483909
contractive,8,10000,4,9,4,0.004820148097147659,3.4235913987845076e-10,0.003160423232980371,0.07365434934785445,1.071350935352718,12.960216568910804,8.0,0.07512067980492675,0.36535008598657304,0.004603675350152795,0.4999999999999999,1.9843998121754094e-12,1.970137916447421e-13,16,16,256,10000,0.00033196106583808913
contractive,8,10000,5,9,4,0.004947068438731519,0.0,0.003336505327011554,0.08900422264857129,1.063218195644325,12.287026355002073,8.0,0.14923928799866523,0.4130679554421933,0.25111677992098214,0.9831960612871429,0.0,0.0,16,16,256,10000,8.863175170925306e-05
contractive,10,1000,1,17,4,0.010077460182893329,1.6503509563123796e-10,0.009268720590597695,0.03875608135952258,1.1138904063986976,26.398677570468763,10.0,0.002519233485678107,0.23519968976566838,0.00046429007052045115,0.15420817533520878,1.5749347220763857e-14,7.662415618897686e-15,32,32,1024,1000,0.0562838822454749
contractive,10,1000,2,18,4,0.010141961684061679,1.6208787946224711e-10,0.00951737121194474,0.03812885559072574,1.051731486215967,15.74504413185214,10.0,0.021919925013009482,0.3278481537541372,0.0005536963060915335,0.07766715338802532,2.2565539566463134e-13,8.974746012045596e-15,32,32,1024,1000,0.039250604706832976
contractive,10,1000,3,18,4,0.011129278671733708,0.0,0.009292188688020477,0.03988291835361303,1.1203337970996565,27.805258549118214,10.0,0.0063496526809647125,0.10845332482849603,0.0018006598851213588,0.3088668600861101,0.0,0.0,32,32,1024,1000,0.0007716825048480668
contractive,10,1000,4,18,4,0.010811694556803572,0.0,0.008926939889760685,0.03505311561615256,1.1043330586743036,24.428716998884994,10.0,0.04411272755203108,0.48272688725690066,0.010154581335639297,0.6733446809255245,0.0,0.0,32,32,1024,1000,0.02508983062108667
contractive,10,1000,5,17,4,0.010986888963891784,0.0,0.00936732762241059,0.03998786179629006,1.117036916938963,27.07744841338758,10.0,0.0030605677806135254,0.1380115030595024,0.0015968354868922175,0.13053332056541705,0.0,0.0,32,32,1024,1000,0.0008946133692506093
contractive,10,3000,1,17,4,0.0062336482823553046,0.0,0.005378140729922421,0.04492447163919023,1.09297215786518,22.257782319420375,10.0,0.0157541633007999,0.24731214263669965,0.0044199295225646,0.28270381792642985,0.0,0.0,32,32,1024,3000,0.017103120944097678
contractive,10,3000,2,19,4,0.005970385079573145,0.0,0.005154623872175724,0.04317551279912862,1.0411853511842115,14.379786667949046,10.0,0.04866464948381606,0.3794568947666174,0.00178261778745085,0.24631557694898787,0.0,0.0,32,32,1024,3000,0.0015710987089219799
contractive,10,3000,3,18,4,0.006092387769273202,0.0,0.005659929971220542,0.03491269254506335,1.0715709566710332,18.628951315787845,10.0,0.016295011904092084,0.1371934032570323,0.0011376060444645176,0.07721261861661763,0.0,0.0,32,32,1024,3000,0.005693277402895749
contractive,10,3000,4,18,4,0.006107679288603584,0.0,0.005270696363251938,0.04122638871079308,1.083004374070513,20.49613137060693,10.0,0.005936457160314445,0.37168509084404017,0.0016188482588139585,0.12674444517075656,0.0,0.0,32,32,1024,3000,0.016218240982479874
contractive,10,3000,5,19,4,0.007064439422015332,0.0,0.005510445983093248,0.04436552590309504,1.0597646412013977,16.86105820440577,10.0,0.0013092149291062886,0.16515754021142875,0.0022000941369581983,0.24107749915669072,0.0,0.0,32,32,1024,3000,4.428539498684506e-05
contractive,10,10000,1,19,4,0.0035230593709390293,0.0,0.003169709951820999,0.046963365678501234,1.071025033099014,18.543708663166495,10.0,0.023208031038081937,0.5560151550897173,0.00165728506970534,0.14300102809129125,0.0,0.0,32,32,1024,10000,0.034156763596689586
contractive,10,10000,2,16,4,0.003331312519743213,0.0,0.0029158812828525764,0.03463115834243001,1.1135288490975745,26.32165898385527,10.0,0.016158024264111007,0.3439200806387492,0.13488622391459057,0.9840601168688676,0.0,0.0,32,32,1024,10000,0.022093074871635286
contractive,10,10000,3,16,4,0.0036604263559483438,1.967419940979712e-10,0.0030773091761979354,0.03826497874134378,1.0452785889766474,14.896645790527659,10.0,0.0070012257399403935,0.23928778764771733,0.0011783551429299932,0.1365408741045338,9.246612509789202e-14,2.3183194057564674e-14,32,32,1024,10000,0.022876832690564283
contractive,10,10000,4,16,4,0.003348192473116853,0.0,0.0029460206940390274,0.041474839084952204,1.0675180635315429,18.004335299353727,10.0,0.024025934309056547,0.2074898793869579,0.0007454544727419899,0.14928900167109047,0.0,0.0,32,32,1024,10000,0.0007411801483234274
contractive,10,10000,5,16,4,0.0033306531900175037,0.0,0.0028355424424676904,0.032707704166770955,1.0331821577833944,13.415043302685607,10.0,0.02578902380997488,0.2871898072183756,0.0018286751908751116,0.09638533497622638,0.0,0.0,32,32,1024,10000,0.016892995158951905
