trial,mode,view,length,cut,sample_size,sigma_r_true,sigma_r_emp,delta_hankel,mu,rank,max_error,tv_error
0,single_true,0,4,1,0,0.1127695030851348,0.1127695030851348,0.0,0.7209245806014689,2,0.0,0.0
0,single_true,1,4,2,0,0.1148814424168925,0.1148814424168925,0.0,0.45722410859324103,2,0.0,0.0
0,single_true,2,4,3,0,0.09805351543849046,0.09805351543849046,0.0,0.6575486518964115,2,0.0,0.0
0,joint_true,-1,-1,-1,0,0.3257044609405178,0.3257044609405178,0.0,0.0,2,0.0,0.0
0,single_emp,0,4,1,50,0.1127695030851348,0.1746037509454834,0.12364721885749737,0.7209245806014689,2,0.08496802780028834,0.1882574398733345
0,single_emp,1,4,2,50,0.1148814424168925,0.16881267540350173,0.12131491908931664,0.45722410859324103,2,0.0853343979250768,0.22505499070387014
0,single_emp,2,4,3,50,0.09805351543849046,0.09790667039281353,0.12940805548730747,0.6575486518964115,2,0.08496802780028845,0.18825743987333468
0,joint_emp,-1,-1,-1,50,0.3257044609405178,0.4413230967417986,0.45396879290145875,0.0,2,0.17024382812896766,0.4501929872765181
